============================================================
  Generated by:           Encounter(R) RTL Compiler v11.10-s016_1
  Generated on:           Oct 19 2016  08:54:34 am
  Module:                 RouterCC
  Technology libraries:   CORE65GPSVT 
                          CLOCK65GPSVT 
                          CORE65GPSVT_1 
                          CLOCK65GPSVT_1 
                          CORE65GPSVT_2 
                          CLOCK65GPSVT_2 
                          IO65LPHVT_SF_1V8_50A_7M4X0Y2Z 
                          IO65LPHVT_SF_1V8_50A_7M4X0Y2Z_1 
                          IO65LPHVT_SF_1V8_50A_7M4X0Y2Z_2 
                          physical_cells 
  Operating conditions:   nom_1.00V_25C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                           
        Gate          Instances    Area        Library     
-----------------------------------------------------------
HS65_GSS_DFPHQNX18            4     49.920    CORE65GPSVT  
HS65_GSS_DFPQX18              2     20.800    CORE65GPSVT  
HS65_GSS_DFPQX35              1     11.440    CORE65GPSVT  
HS65_GSS_DFPRQNX18            2     23.920    CORE65GPSVT  
HS65_GSS_DFPRQNX27            4     49.920    CORE65GPSVT  
HS65_GSS_DFPRQNX35            1     13.000    CORE65GPSVT  
HS65_GSS_DFPRQX27             1     12.480    CORE65GPSVT  
HS65_GSS_XNOR2X12             5     33.800    CORE65GPSVT  
HS65_GSS_XNOR2X18            13    135.200    CORE65GPSVT  
HS65_GSS_XNOR2X24            21    262.080    CORE65GPSVT  
HS65_GSS_XNOR2X3             25    104.000    CORE65GPSVT  
HS65_GSS_XNOR2X6             71    295.360    CORE65GPSVT  
HS65_GSS_XOR2X3              49    203.840    CORE65GPSVT  
HS65_GSS_XOR2X6             196    815.360    CORE65GPSVT  
HS65_GS_AND2ABX27             2     11.440    CORE65GPSVT  
HS65_GS_AND2ABX35             1      6.240    CORE65GPSVT  
HS65_GS_AND2ABX9              1      3.640    CORE65GPSVT  
HS65_GS_AND2X18             552   2009.280    CORE65GPSVT  
HS65_GS_AND2X27              58    331.760    CORE65GPSVT  
HS65_GS_AND2X35              16     99.840    CORE65GPSVT  
HS65_GS_AND2X4              131    340.600    CORE65GPSVT  
HS65_GS_AND2X9              363   1132.560    CORE65GPSVT  
HS65_GS_AND3ABCX9             5     23.400    CORE65GPSVT  
HS65_GS_AND3X18               2      9.360    CORE65GPSVT  
HS65_GS_AND3X27              12     81.120    CORE65GPSVT  
HS65_GS_AND3X35              49    382.200    CORE65GPSVT  
HS65_GS_AND3X4                4     14.560    CORE65GPSVT  
HS65_GS_AND3X9               17     61.880    CORE65GPSVT  
HS65_GS_AND4X13              18    112.320    CORE65GPSVT  
HS65_GS_AND4X19              33    360.360    CORE65GPSVT  
HS65_GS_AND4X25              28    364.000    CORE65GPSVT  
